Email,Exam,Exam_num,Exam_Score,Start.Date,HAVING.READ.THE.INFORMATION.PROVIDED..YOU.MUST.DECIDE.WHETHER.OR.NOT.YOU.WISH.TO.PARTICIPATE.IN.THIS.RESEARCH.STUDY..CLICKING.�..I.CONSENT�...SHOWS.YOUR.WILLINGNESS.TO.PARTICIPATE.,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Selected.Choice,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Other..Fill.in.the.blank....Text,Please.explain.your.greatest.concern.regarding.taking.today.s.online.proctored.exam.,How.concerned.are.you.about.the.concern.you.just.wrote.about....Selected.Choice,How.concerned.are.you.about.the.concern.you.just.wrote.about....Other...Text,When.taking.this.exam.remotely.with.online.proctoring..e.g..LockDown.browser.and.webcam...what.percentage.of.your.classmates.do.you.believe.were.cheating....Percent.of.students.cheating,Proctoring.SS,Score.SS,Anxiety.SS,Study.SS,ClassStudy.SS,ST1Q01,ST1Q02,ST1Q03,ST1Q04,ST1Q05,Did_not_study,Stuided_less,Studied_same,Understanding,Less_anxious,Prepared_Notes,No_Notes,Studied_more,External_resources,FinalExam,FinalGrade
26,Exam 1,1,54,2/9/2021 9:38,I CONSENT,Proctoring software disconnected,,"there was ALOT of miscommunication between the class and the professors. I understand that there was a 15$ fee for this class but the syllabus was so long and there should have been more communication to prepare the student with this fee. I also believe that I am paying 50,000$ out of state tuition to go to this university I should NOT have to pay another 15$ to take an exam... I would like to understand why we could not just use honor lock and not have to pay for this. My exam also closed on me causing me to have to restart. I don't think very many of our classmates were prepared, considering the material on the exam seemed to be a lot more difficult then what we are going through in class.",Very concerned,,5,Had no impact on difficulty for other students to cheat,Slightly decreased my exam score,Slightly Reduced,Slightly Less,Much less for this exam,0,-1,-1,-1,-2,0,0,0,0,0,0,0,0,0,37.8,78.54
27,Exam 1,1,66,2/9/2021 11:10,I CONSENT,,,the fact that I had to pay $15 and the fact that half of my classmates didn't have to use lockdown and the fact that you ignored us when we tried to talk to you about it during class,Very concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Raised,Same Amount,The same amount,0,1,2,0,0,0,0,0,0,0,1,0,0,0,68.9,85.96
28,Exam 1,1,78,2/9/2021 10:25,I CONSENT,Other. Fill in the blank.,Didnt realize I needed to pay $15 right before the exam. Wish I could have had an option to pay beforehand.,Internet connection loss.,Slightly concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Much less for this exam,0,1,-2,-2,-2,0,1,0,0,0,0,0,0,0,57.8,81.16
29,Exam 1,1,66,2/9/2021 8:04,I CONSENT,,,It was open not but I got a 66!!! How?!! I felt very confident about at least 45 of my questions,Very concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,1,-2,-1,-1,0,0,1,1,1,1,0,0,0,73.3,86.78
30,Exam 1,1,94,2/9/2021 7:55,I CONSENT,,,Had to pay 15 dollars,Moderately concerned,,20,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,1,-2,-1,-1,0,0,0,0,0,1,0,0,0,80,91.76
31,Exam 1,1,66,2/9/2021 8:00,I CONSENT,Other. Fill in the blank.,Had to pay $15 randomly at the start,Just making the payment without knowing I would have to beforehand ,Slightly concerned,,15,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,The same amount,0,1,-2,-1,0,0,0,0,1,0,1,0,0,0,53.3,72.63
32,Exam 1,1,70,2/9/2021 8:28,I CONSENT,,,$15.00 ,Moderately concerned,,20,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Slightly Less,Much less for this exam,0,1,0,-1,-2,0,0,0,1,0,0,0,0,0,55.6,75.93
33,Exam 1,1,64,2/9/2021 9:17,I CONSENT,"Internet connection was too slow,Proctoring software disconnected,Am not familiar with how the software works",,It took forever to get into the test and I had to submit my test early because I thought that it said that it would be late otherwise. I did not enjoy this lockdown browser at all in addition to having to spend money on it.,Very concerned,,0,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Slightly More,The same amount,0,1,0,1,0,0,0,0,0,0,1,0,0,0,75.6,90.23
34,Exam 1,1,74,2/9/2021 9:21,I CONSENT,,,,Not all at that concerned,,4,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Slightly less for this exam,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,77.8,90.54
35,Exam 1,1,70,2/9/2021 8:12,I CONSENT,,,The $15 dollar fee at the beginning threw me off. But I just followed the directions and carried on.,Not all at that concerned,,0,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Raised,Much Less,Much less for this exam,0,1,1,-2,-2,0,0,0,0,0,0,0,0,0,77.8,89
36,Exam 1,1,74,2/9/2021 8:14,I CONSENT,,,none,Not all at that concerned,,2,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Much less for this exam,0,1,-1,-2,-2,0,1,0,0,0,0,0,0,0,71.1,87.19
37,Exam 1,1,60,2/11/2021 7:05,I CONSENT,,,paying for a lockdown browser,Moderately concerned,,15,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,1,0,0,0,0,0,0,0,42.2,55.62
38,Exam 1,1,82,2/9/2021 8:50,I CONSENT,,,My experience went smoothly as I already had the lockdown + webcam browser downloaded and used in a class last semester - no issues,Not all at that concerned,,5,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,1,0,0,0,1,0,0,0,82.2,94.19
39,Exam 1,1,70,2/9/2021 8:16,I CONSENT,Am not familiar with how the software works,,I was not aware that I had to pay a fee to get the lockdown browser for the class. ,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,64.4,81.07
40,Exam 1,1,68,2/9/2021 8:15,I CONSENT,,,Having to pay for the webcam.,Not all at that concerned,,21,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,1,-1,-1,-1,0,0,0,0,0,1,0,0,0,77.8,89.43
41,Exam 1,1,94,2/9/2021 7:37,I CONSENT,,,"When I got on, the check they did went really slowly and they asked me to pay for something that I didn't have to purchase previously when taking the practice quiz. It didn't actually hurt me in any way, it was just fairly stressful because I lost time on the exam.",Moderately concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,82.2,92.81
42,Exam 1,1,76,2/9/2021 8:22,I CONSENT,,,,,,4,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,71.1,84.91
43,Exam 1,1,74,2/9/2021 8:11,I CONSENT,,,No concerns,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,51.1,82.13
44,Exam 1,1,86,2/9/2021 10:11,I CONSENT,Other. Fill in the blank.,The test didn't load even though I paid for it.,"Most of us were unaware of the payment that we had to make in order to use the proctor software. Also, some of us had difficulty in loading the test. I am afraid that the loading problem might happen again in the future. ",Moderately concerned,,10,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,86.7,94.79
45,Exam 1,1,68,2/9/2021 9:27,I CONSENT,"Internet connection was too slow,Proctoring software disconnected,Am not familiar with how the software works,Other. Fill in the blank.",Auburn instructure signed me out in the middle of the test and I lost internet,I lost internet and am also left feeling a bit confused on why the exam is no longer proctored when people have already taken it. ,Very concerned,,0,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,73.3,89.58
46,Exam 1,1,52,2/9/2021 9:13,I CONSENT,Other. Fill in the blank.,lockdown pay screen wouldn't load,not being prepared for the material,Very concerned,,15,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,33.3,72.7
47,Exam 1,1,78,2/9/2021 8:46,I CONSENT,Other. Fill in the blank.,extreme trouble trying to download and access lockdown browser,The Respondus lockdown browser make it extremely difficult to access the exam. ,Very concerned,,33,Had no impact on difficulty for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,53.3,75.22
48,Exam 1,1,78,2/9/2021 8:09,I CONSENT,,,,,,70,Made it much easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,2,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,48.9,78.31
49,Exam 1,1,66,2/9/2021 8:05,I CONSENT,,,I did not read your email,Not all at that concerned,,10,Made it much easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,2,2,-1,0,0,0,0,1,0,0,0,0,0,0,31.1,68.72
50,Exam 1,1,78,2/9/2021 8:57,I CONSENT,Am not familiar with how the software works,,"I paid for the webcam and took the exam with the online-proctoring, but we were allowed to take it without the proctoring. I worry this will negatively impact my exam score in comparison to those who took the exam without proctoring.",Moderately concerned,,60,Made it much easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,2,1,-1,-2,-1,0,1,0,0,0,0,0,0,0,71.1,89.01
51,Exam 1,1,94,2/9/2021 8:15,I CONSENT,,,,Not all at that concerned,,35,Made it much easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,2,1,-1,0,-1,0,0,0,0,0,0,0,0,0,88.9,94.93
52,Exam 1,1,44,2/9/2021 7:33,I CONSENT,,,Dont like when the camera is on scatches me out,Very concerned,,NA,Made it much more difficult for other students to cheat,Greatly decreased my exam score,Greatly Raised,Much Less,Much less for this exam,-2,-2,2,-2,-2,1,0,0,0,0,0,0,0,0,42.2,69.82
53,Exam 1,1,80,2/9/2021 8:58,I CONSENT,,,the money we had to pay for the webcam ,Slightly concerned,,4,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Raised,Slightly Less,Slightly less for this exam,-2,2,2,-1,-1,0,0,0,0,0,0,0,0,0,73.3,88.53
54,Exam 1,1,72,2/9/2021 9:20,I CONSENT,"Internet connection was too slow,Am not familiar with how the software works",,,Not all at that concerned,,0,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Raised,Same Amount,Slightly less for this exam,-2,2,2,0,-1,0,0,0,0,0,0,0,0,0,66.7,88.84
55,Exam 1,1,60,2/9/2021 8:09,I CONSENT,,,,Not all at that concerned,,18,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,-2,2,-2,-1,-2,0,0,0,0,0,0,0,0,0,66.7,81.9
56,Exam 1,1,72,2/9/2021 8:22,I CONSENT,,,Anxiety over potential technical issues,Moderately concerned,,0,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-2,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,80,91.23
57,Exam 1,1,34,2/9/2021 8:08,I CONSENT,Am not familiar with how the software works,,I had a hard time downloading the browser,Very concerned,,21,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Slightly more for this exam,-2,2,-2,1,1,0,0,0,0,0,0,0,0,0,48.9,64.14
58,Exam 1,1,70,2/9/2021 7:59,I CONSENT,Other. Fill in the blank.,I tried to take the test in the SAC building but the internet wasn't working in there for me so I had to head home in like 4 minutes before the test started and ended up starting alittle late.,"Test was good, proctoring system didn't mess up or anything.",Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-2,2,-2,0,-1,0,0,0,1,0,0,0,0,0,55.6,81.18
59,Exam 1,1,72,2/9/2021 8:35,I CONSENT,,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,2,-2,0,0,0,0,0,0,0,1,0,0,0,51.1,75.54
60,Exam 1,1,76,2/9/2021 7:57,I CONSENT,,,I have a painting in my background that sometimes gets flagged because it thinks there is another person in my room.,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,2,-2,0,0,0,0,0,0,0,1,0,0,0,57.8,80.08
61,Exam 1,1,62,2/9/2021 9:40,I CONSENT,Other. Fill in the blank.,we paid for lockdown browser and did not know before the test ,not having enough time,Very concerned,,100,Made it much more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,,Much less for this exam,-2,2,-2,NA,-2,0,0,0,0,0,0,0,0,0,66.7,83.32
62,Exam 1,1,84,2/9/2021 8:47,I CONSENT,,,"I was really worried whenever I had to pay for my webcam. I thought that if there was a webcam already in my computer then it would be fine, but it wasn't. I have never had to pay for my webcam to be used before so that made me stressed for the rest of the test. ",Very concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Raised,Same Amount,Much less for this exam,-2,2,1,0,-2,0,0,1,0,0,1,0,0,0,82.2,90.76
63,Exam 1,1,76,2/9/2021 8:15,I CONSENT,,,,Not all at that concerned,,7,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,-2,2,-1,-2,-2,0,0,0,0,0,0,0,0,0,86.7,92.18
64,Exam 1,1,82,2/9/2021 8:40,I CONSENT,,,none,Not all at that concerned,,5,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,2,-1,0,-1,0,0,0,0,0,0,0,0,0,80,92.24
65,Exam 1,1,70,2/9/2021 8:45,I CONSENT,"Internet connection was too slow,Other. Fill in the blank.",I had to pay for use of the software before which I didn't think would happen,Just technology issues- and I scored lower than I thought I would have on the exam,Moderately concerned,,10,Made it much more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,2,-1,0,-1,0,0,0,1,0,0,0,0,0,68.9,87.66
66,Exam 1,1,40,2/9/2021 7:48,I CONSENT,Other. Fill in the blank.,buying the webcam,I had notes but didnt use them because I did not want to have my test locked down. I did bad on the exam,Moderately concerned,,3,Made it much more difficult for other students to cheat,Had no effect on my exam score,Greatly Raised,Slightly Less,Slightly less for this exam,-2,0,2,-1,-1,0,0,0,0,0,0,0,0,0,46.7,73.39
67,Exam 1,1,58,2/9/2021 9:10,I CONSENT,"Internet connection was too slow,Other. Fill in the blank.",lost internet connect and had to start test over after 30 minutes,"When I use the lockdown browser without the webcam my wifi works fine, but when I use the webcam with the lockdown browser my wifi cannot support it so it kept on losing wifi and getting rid of my answers. I also was scared that when I was emailing Emily that the proctoring was going to flag my test even though I was just emailing her my issues. I also had my roommate come into our living room and cough and make noise so I feel like that could flag me for cheating too",Very concerned,,5,Made it much more difficult for other students to cheat,Had no effect on my exam score,Greatly Reduced,Much Less,Slightly less for this exam,-2,0,-2,-2,-1,0,1,0,0,0,0,0,0,0,40,77.92
68,Exam 1,1,68,2/9/2021 7:40,I CONSENT,,,I didn't have a concern.,Not all at that concerned,,5,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Much Less,Much less for this exam,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,82.2,89.21
69,Exam 1,1,30,2/9/2021 9:45,I CONSENT,Other. Fill in the blank.,Just a bad experience in general w an exam ,Everything to be honest ,Very concerned,,0,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Slightly Less,Much less for this exam,-2,0,0,-1,-2,0,1,0,0,0,0,0,0,0,37.8,75.9
70,Exam 1,1,56,2/10/2021 2:07,I CONSENT,"Internet connection was too slow,Video could not detect my face",,It flagging me for something I did not do.,Slightly concerned,,NA,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Slightly less for this exam,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,44.4,70.39
71,Exam 1,1,62,2/9/2021 8:19,I CONSENT,Internet connection was too slow,,very slow and i was unaware i had to pay 15$ to use my webcam,Very concerned,,4,Made it much more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Much less for this exam,-2,0,-1,-1,-2,0,0,0,0,0,0,0,0,0,51.1,78.18
72,Exam 1,1,66,2/9/2021 8:19,I CONSENT,,,"I did not know I had to pay a 15 dollar fee to use the webcam, as I have used lockdown browser before with a webcam and did not have to pay the fee.",Moderately concerned,,5,Made it much more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Much less for this exam,-2,0,-1,-1,-2,0,1,0,0,1,0,0,0,0,57.8,83.73
